City_ID,City,Country,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed
157,Puerto baquerizo moreno,EC,-0.9,-89.6,84.2,79,75,8.05
158,Aklavik,CA,68.22,-135.01,33.8,86,90,3.36
159,Te anau,NZ,-45.42,167.72,45.57,79,56,0.27
160,Sarangani,PH,5.4,125.46,83.7,74,3,7.72
161,Nantucket,US,41.28,-70.1,53.6,50,1,10.29
162,Luderitz,NA,-26.65,15.16,74.57,26,0,9.8
163,Seymchan,RU,62.88,152.43,27.88,94,100,15.23
164,Yong peng,MY,2.01,103.07,75.99,94,99,1.54
165,Ugoofaaru,MV,5.67,73.0,85.08,80,98,15.19
166,Mayor pablo lagerenza,PY,-19.93,-60.77,81.43,60,99,1.41
167,Flin flon,CA,54.77,-101.86,48.2,26,20,5.82
168,Kidal,ML,18.44,1.41,84.79,25,3,1.61
169,Fairlie,GB,55.76,-4.86,46.99,83,8,1.86
170,Hualmay,PE,-11.1,-77.61,68.83,79,87,8.12
171,Nanortalik,GL,60.14,-45.24,41.61,76,99,14.47
172,Denpasar,ID,-8.65,115.22,78.8,100,40,2.24
173,Primorsk,UA,46.73,36.34,57.69,91,40,9.44
174,Mbaiki,CF,3.87,17.99,69.39,96,94,2.08
175,Bac giang,VN,21.27,106.2,78.8,88,82,5.82
176,Miechow,PL,50.36,20.03,42.01,76,12,8.05
177,Belyy yar,RU,53.6,91.39,41.0,60,100,6.71
178,Matara,LK,5.95,80.54,79.61,87,82,4.92
179,Qostanay,KZ,53.17,63.58,44.6,44,14,8.95
180,Kenai,US,60.55,-151.26,55.4,37,1,14.99
181,Corinth,GR,37.94,22.96,62.01,54,5,1.01
182,Bredasdorp,ZA,-34.53,20.04,59.0,87,65,82.77
183,Anisoc,GQ,1.87,10.77,71.76,95,7,1.34
184,Mangrol,IN,21.12,70.12,79.95,88,0,9.57
185,Okha,RU,53.57,142.95,32.0,96,62,9.89
186,Komsomolskiy,UZ,40.43,71.72,60.8,67,90,4.7
187,Chiang klang,TH,19.29,100.86,79.63,64,19,0.6
188,Uruzgan,AF,32.83,66.0,58.73,41,0,5.86
189,Mayo,US,38.89,-76.51,57.2,62,90,8.05
190,Cobourg,DE,50.27,10.97,41.0,72,4,3.22
191,Urdoma,RU,61.75,48.54,48.81,97,100,3.53
192,Filingue,NE,14.35,3.32,92.68,24,0,8.19
193,Cherskiy,RU,68.75,161.3,27.07,93,81,3.22
194,San jose,US,37.34,-121.89,78.01,41,20,17.22
195,Clifton,US,40.86,-74.16,64.4,18,1,6.93
196,Saint anthony,US,45.02,-93.22,61.0,21,1,5.82
197,Umm lajj,SA,25.02,37.27,79.36,45,0,13.09
198,Ponta do sol,PT,32.67,-17.1,66.2,77,40,2.24
199,Emba,KZ,48.83,58.14,52.05,50,87,9.37
200,Kaitangata,NZ,-46.28,169.85,54.0,68,93,14.0
201,Vanavara,RU,60.34,102.28,37.04,93,100,11.45
202,North bend,US,43.41,-124.22,62.01,93,90,9.17
203,Mikropolis,GR,41.19,23.82,54.0,81,73,1.01
204,Chapais,CA,49.78,-74.85,41.0,38,1,9.17
205,Polewali,ID,-3.43,119.34,78.4,82,99,3.15
206,Vila franca do campo,PT,37.72,-25.43,60.8,77,20,11.41
207,Mahebourg,MU,-20.41,57.7,73.4,94,75,3.36
208,Bairiki,KI,1.33,172.98,86.0,70,20,13.87
209,Tazovskiy,RU,67.47,78.7,25.21,99,100,7.63
210,Maniitsoq,GL,65.42,-52.9,31.59,93,99,14.09
211,Synya,RU,65.37,58.04,35.29,96,97,3.83
212,Port elizabeth,ZA,-33.92,25.57,62.6,77,9,8.05
213,Naze,JP,28.37,129.48,73.4,100,75,3.36
214,Paamiut,GL,61.99,-49.67,33.82,93,100,8.03
215,Vanimo,PG,-2.67,141.3,80.35,82,93,3.29
216,Alofi,NU,-19.06,-169.92,80.4,72,0,9.37
217,Kerema,PG,-7.96,145.78,77.65,86,100,5.19
218,Terney,RU,45.05,136.61,47.32,68,16,3.71
219,Avera,US,33.19,-82.53,86.0,42,1,8.05
220,Trairi,BR,-3.28,-39.27,80.26,82,98,10.69
221,Quimper,FR,48.0,-4.1,51.8,100,82,3.36
